Entrance/Landing Page,Campaign,Total Users,Sessions,Sessions w/ Interaction,Interaction Rate,CTA Click Rate
give.rit.edu/giving-day/78097/department/78140,uadv-roar-day,1,3,1,0.3333333333333333,0
eservices.rit.edu(not set),uadv-roar-day,3,3,0,0,0
tigercenter.rit.edu/roar-day-2024,uadv-roar-day,3,3,1,0.3333333333333333,0
www.givecampus.com/campaigns/52069/donations/8754881,uadv-roar-day,1,3,0,0,0
www.givecampus.com/schools/RochesterInstituteofTechnology/admin/campaigns/52069/advocacy,uadv-roar-day,2,3,2,0.6666666666666666,0
www.givecampus.com/schools/RochesterInstituteofTechnology/roar-day-2024/pages/rit-athletics,uadv-roar-day,3,3,0,0,0
www.givecampus.com/schools/RochesterInstituteofTechnology/roar-day-2024/pages/rit-athletics/mens-lacrosse,uadv-roar-day,1,3,1,0.3333333333333333,0
www.rit.edu/academicsuccesscenter/study-tool-kit,uadv-roar-day,1,3,1,0.3333333333333333,0
www.rit.edu/brickcity,uadv-roar-day,2,3,1,0.3333333333333333,0
www.rit.edu/diversity/expressions2025,uadv-roar-day,2,3,2,0.6666666666666666,0
www.rit.edu/diversity/newsletter/november-2024/story/nominate-outstanding-rit-staff-faculty-and-students,uadv-roar-day,2,3,0,0,0
www.rit.edu/events,uadv-roar-day,2,3,3,1,0
www.rit.edu/giving/gifts-action-donor-newsletter-may-2024,uadv-roar-day,3,3,0,0,0
www.rit.edu/giving/sentinel-society,uadv-roar-day,3,3,1,0.3333333333333333,0
www.rit.edu/news/students-form-band-after-chance-meeting-campus,uadv-roar-day,2,3,1,0.3333333333333333,0
www.rit.edu/news/upcoming-cluster-hires-artificial-intelligence-solidify-rit-as-leader-field,uadv-roar-day,2,3,0,0,0
www.rit.edu/parking/campus-shuttles,uadv-roar-day,3,3,2,0.6666666666666666,0
www.rit.edu/studenthealth,uadv-roar-day,3,3,2,0.6666666666666666,0
tigers.rit.edu/site/SPageNavigator/RIT_donate.html,uadv-roar-day,2,2,0,0,0
www.rit.edu/universitystudies/office-veteran-student-success,uadv-roar-day,1,2,0,0,0
give.rit.edu/campaigns/52069/donations/8754818,uadv-roar-day,1,2,0,0,0
give.rit.edu/campaigns/52069/donations/8758155,uadv-roar-day,1,2,0,0,0
give.rit.edu/careers,uadv-roar-day,1,2,0,0,0
give.rit.edu/giving-day/78097/thanks,uadv-roar-day,2,2,1,0.5,0
give.rit.edu/giving/gifts-action-donor-newsletter-may-2024,uadv-roar-day,2,2,0,0,0
give.rit.edu/giving/sentinel-society,uadv-roar-day,2,2,0,0,0
give.rit.edu/schools/RochesterInstituteofTechnology/roar-day-2024/pages/rit-athletics/rit-cheerleading,uadv-roar-day,1,2,0,0,0
give.rit.edu/schools/RochesterInstituteofTechnology/roar-day-2024/pages/rit-athletics/rit-wrestling,uadv-roar-day,1,2,0,0,0
give.rit.edu/schools/RochesterInstituteofTechnology/roar-day-2024/pages/rit-athletics/womens-basketball,uadv-roar-day,2,2,0,0,0
give.rit.edu/schools/RochesterInstituteofTechnology/roar-day-2024/pages/rit-athletics/womens-soccer,uadv-roar-day,2,2,0,0,0
give.rit.edu/sign_up,uadv-roar-day,2,2,1,0.5,0
join.rit.edu(not set),uadv-roar-day,2,2,0,0,0
join.rit.edu/,uadv-roar-day,2,2,0,0,0
join.rit.edu/register,uadv-roar-day,1,2,1,0.5,0
people.rit.edu/,uadv-roar-day,1,2,1,0.5,0
ritathletics.com(not set),uadv-roar-day,1,2,1,0.5,0
ritathletics.com/sports/mens-soccer/schedule/2024,uadv-roar-day,1,2,1,0.5,0
eservices.rit.edu/eservices/admin/switch,uadv-roar-day,1,2,1,0.5,0
www.givecampus.com/schools/RochesterInstituteofTechnology/admin/campaigns/52069/matches-and-challenges,uadv-roar-day,1,2,2,1,0
www.givecampus.com/schools/RochesterInstituteofTechnology/admin/donations/8740454,uadv-roar-day,1,2,0,0,0
www.givecampus.com/schools/RochesterInstituteofTechnology/admin/donations/subscriptions,uadv-roar-day,1,2,1,0.5,0
www.givecampus.com/schools/RochesterInstituteofTechnology/roar-day-2024/pages/additional-areas-of-support,uadv-roar-day,1,2,0,0,0
www.givecampus.com/schools/RochesterInstituteofTechnology/roar-day-2024/pages/ritfund,uadv-roar-day,2,2,0,0,0
www.rit.edu/brickcity/login,uadv-roar-day,2,2,1,0.5,0
www.rit.edu/calendar,uadv-roar-day,2,2,1,0.5,0
www.rit.edu/careerservices,uadv-roar-day,2,2,2,1,0
www.rit.edu/careerservices/packaging-career-fair,uadv-roar-day,1,2,0,0,0
www.rit.edu/careerservices/student/careerconnect,uadv-roar-day,2,2,2,1,0
www.rit.edu/commencement/schedule,uadv-roar-day,2,2,0,0,0
www.rit.edu/disabilityservices/mydso,uadv-roar-day,1,2,1,0.5,0
www.rit.edu/diversity/newsletter/november-2024/story/how-honor-land-which-we-stand,uadv-roar-day,2,2,2,1,0
www.rit.edu/diversity/together-rit-registration,uadv-roar-day,1,2,1,0.5,0
www.rit.edu/eservices/admin/switch,uadv-roar-day,1,2,1,0.5,0
www.rit.edu/eservices/home,uadv-roar-day,1,2,0,0,0
www.rit.edu/events/cola-alumni-panel-0,uadv-roar-day,2,2,1,0.5,0
www.rit.edu/facilitiesmanagement/building/wallace-library,uadv-roar-day,1,2,2,1,0
www.rit.edu/facultysenate/academic-support-and-student-affairs,uadv-roar-day,1,2,0,0,0
www.rit.edu/giving/new-tiger-stadium,uadv-roar-day,1,2,0,0,0
www.rit.edu/graduateschool/grad-school-events,uadv-roar-day,1,2,0,0,0
www.rit.edu/humanresources/benefits,uadv-roar-day,2,2,2,1,0
www.rit.edu/liberalarts/expressive-communication-center,uadv-roar-day,2,2,2,1,0
www.rit.edu/news,uadv-roar-day,2,2,2,1,0
www.rit.edu/news/alumnus-captures-iconic-moment-2024-presidential-campaign-trail,uadv-roar-day,2,2,1,0.5,0
www.rit.edu/osher,uadv-roar-day,1,2,2,1,0
www.rit.edu/parentsandfamilies/parent-polls,uadv-roar-day,2,2,2,1,0
www.rit.edu/parking/1-campus-express,uadv-roar-day,1,2,1,0.5,0
www.rit.edu/phoneservices,uadv-roar-day,1,2,2,1,0
www.rit.edu/policies/c060,uadv-roar-day,2,2,1,0.5,0
www.rit.edu/presidential-search-committee,uadv-roar-day,1,2,1,0.5,0
www.rit.edu/roar-day-2024/advocacy,uadv-roar-day,2,2,1,0.5,0
www.rit.edu/schools/RochesterInstituteofTechnology/roar-day-2024/pages/rit-athletics,uadv-roar-day,2,2,0,0,0
www.rit.edu/schools/RochesterInstituteofTechnology/roar-day-2024/pages/rit-athletics/womens-volleyball,uadv-roar-day,2,2,2,1,0
www.rit.edu/staffcouncil,uadv-roar-day,2,2,1,0.5,0
www.rit.edu/tigercloud,uadv-roar-day,2,2,1,0.5,0
give.rit.edu/campaigns/52069/donations/8752489,uadv-roar-day,1,2,0,0,0
give.rit.edu/diversity/together-rit-registration,uadv-roar-day,1,1,0,0,0
www.rit.edu/universitycouncil,uadv-roar-day,1,1,1,1,0
business.rit.edu(not set),uadv-roar-day,1,1,0,0,0
campusgroups.rit.edu/login_only,uadv-roar-day,1,1,0,0,0
eservices.rit.edu/calendar,uadv-roar-day,1,1,0,0,0
eservices.rit.edu/eservices/third-party/verify,uadv-roar-day,1,1,1,1,0
eservices.rit.edu/infocenter,uadv-roar-day,1,1,0,0,0
give.rit.edu/academicaffairs/facultyscholarship/person.php,uadv-roar-day,1,1,0,0,0
give.rit.edu/alumni,uadv-roar-day,1,1,0,0,0
give.rit.edu/campaigns/52069/donations/8706472,uadv-roar-day,1,1,0,0,0
give.rit.edu/campaigns/52069/donations/8741612/edit,uadv-roar-day,1,1,1,1,0
give.rit.edu/campaigns/52069/donations/8747798,uadv-roar-day,1,1,0,0,0
give.rit.edu/campaigns/52069/donations/8750713/edit,uadv-roar-day,1,1,1,1,0
give.rit.edu/campaigns/52069/donations/8752382,uadv-roar-day,1,1,1,1,0
give.rit.edu/campaigns/52069/donations/8753179/edit,uadv-roar-day,1,1,1,1,0
give.rit.edu/campaigns/52069/donations/8754009,uadv-roar-day,1,1,0,0,0
give.rit.edu/campaigns/52069/donations/8754234,uadv-roar-day,1,1,0,0,0
give.rit.edu/campaigns/52069/donations/8755230,uadv-roar-day,1,1,0,0,0
give.rit.edu/campaigns/52069/donations/8755234,uadv-roar-day,1,1,0,0,0
give.rit.edu/campaigns/52069/donations/8755929,uadv-roar-day,1,1,0,0,0
give.rit.edu/campaigns/52069/donations/8756279,uadv-roar-day,1,1,0,0,0
give.rit.edu/campaigns/52069/donations/8758495,uadv-roar-day,1,1,0,0,0
give.rit.edu/campaigns/52069/donations/8758570/edit,uadv-roar-day,1,1,1,1,0
give.rit.edu/campaigns/52069/donations/8758703,uadv-roar-day,1,1,0,0,0
give.rit.edu/campaigns/52069/donations/8758710,uadv-roar-day,1,1,0,0,0
give.rit.edu/campaigns/52069/donations/8764306,uadv-roar-day,1,1,0,0,0
give.rit.edu/campaigns/52069/donations/8764802,uadv-roar-day,1,1,0,0,0
give.rit.edu/campaigns/52069/donations/8776924,uadv-roar-day,1,1,1,1,0
give.rit.edu/dining,uadv-roar-day,1,1,0,0,0
give.rit.edu/directory/djgvpr-daniel-goebert,uadv-roar-day,1,1,0,0,0
give.rit.edu/diversity/newsletter/november-2024/story/nominate-outstanding-rit-staff-faculty-and-students,uadv-roar-day,1,1,0,0,0
www-staging.rit.edu/physicseducationresearch/taxonomy/term/19968/delete,uadv-roar-day,1,1,1,1,1
give.rit.edu/eservices,uadv-roar-day,1,1,0,0,0
give.rit.edu/events,uadv-roar-day,1,1,0,0,0
give.rit.edu/events/cola-alumni-panel-0,uadv-roar-day,1,1,0,0,0
give.rit.edu/giving-day/78097/department/78102,uadv-roar-day,1,1,1,1,0
give.rit.edu/giving-day/78097/department/78120,uadv-roar-day,1,1,1,1,0
give.rit.edu/giving-day/78097/donors,uadv-roar-day,1,1,0,0,0
give.rit.edu/giving-day/78097/set/5896,uadv-roar-day,1,1,1,1,0
give.rit.edu/giving/new-tiger-stadium,uadv-roar-day,1,1,0,0,0
give.rit.edu/google,uadv-roar-day,1,1,0,0,0
give.rit.edu/infocenter,uadv-roar-day,1,1,0,0,0
give.rit.edu/liberalarts/expressive-communication-center,uadv-roar-day,1,1,0,0,0
give.rit.edu/news,uadv-roar-day,1,1,0,0,0
give.rit.edu/phoneservices,uadv-roar-day,1,1,0,0,0
give.rit.edu/policies/d020,uadv-roar-day,1,1,0,0,0
give.rit.edu/schools/RochesterInstituteofTechnology/roar-day-2024/pages/additional-areas-of-support,uadv-roar-day,1,1,0,0,0
give.rit.edu/schools/RochesterInstituteofTechnology/roar-day-2024/pages/rit-athletics/mens-tennis,uadv-roar-day,1,1,0,0,0
give.rit.edu/schools/RochesterInstituteofTechnology/roar-day-2024/pages/rit-athletics/mens-track-cc,uadv-roar-day,1,1,0,0,0
give.rit.edu/schools/RochesterInstituteofTechnology/roar-day-2024/pages/ritfund,uadv-roar-day,1,1,0,0,0
give.rit.edu/schools/RochesterInstituteofTechnology/roar-day-2024/pages/simone-center,uadv-roar-day,1,1,0,0,0
give.rit.edu/users/8889995-evelyn-wheel,uadv-roar-day,1,1,0,0,0
give.rit.edu/users/8912988-faith-hamilton,uadv-roar-day,1,1,0,0,0
impact.rit.edu/giving-day/78097/leaderboards,uadv-roar-day,1,1,0,0,0
impact.rit.edu/giving-day/78097/signup,uadv-roar-day,1,1,0,0,0
join.rit.edu/calendar,uadv-roar-day,1,1,0,0,0
maps.rit.edu/alumni/dinefor1829,uadv-roar-day,1,1,0,0,0
maps.rit.edu/brickcity/login,uadv-roar-day,1,1,0,0,0
maps.rit.edu/news/upcoming-cluster-hires-artificial-intelligence-solidify-rit-as-leader-field,uadv-roar-day,1,1,0,0,0
maps.rit.edu/study/immersions-and-minors,uadv-roar-day,1,1,0,0,0
maps.rit.edu/talentdevelopment/talent-roadmap,uadv-roar-day,1,1,0,0,0
maps.rit.edu/tigerCenterApp/api/class-search,uadv-roar-day,1,1,0,0,0
ritathletics.com/sports/mens-track-and-field/schedule/2022-23,uadv-roar-day,1,1,0,0,0
ritathletics.com/sports/mens-track-and-field/schedule/2023-24,uadv-roar-day,1,1,0,0,0
ritathletics.com/sports/womens-soccer/schedule/2024,uadv-roar-day,1,1,0,0,0
tigercenter.rit.edu/tigerCenterApp,uadv-roar-day,1,1,0,0,0
tigercenter.rit.edu/tigerCenterApp/landing,uadv-roar-day,1,1,0,0,0
tigercenter.rit.edu/tigerCenterApp/login_shib/tc/login,uadv-roar-day,1,1,0,0,0
tigers.rit.edu/careers,uadv-roar-day,1,1,0,0,0
tigers.rit.edu/giving-day/78097/signup,uadv-roar-day,1,1,0,0,0
tigers.rit.edu/site/Calendar,uadv-roar-day,1,1,1,1,0
tigers.rit.edu/site/Donation2,uadv-roar-day,1,1,0,0,0
tigers.rit.edu/site/SPageServer,uadv-roar-day,1,1,0,0,0
www-staging.rit.edu/ai/undergraduate-courses,uadv-roar-day,1,1,1,1,0
www-staging.rit.edu/ai/vision-and-strategic-direction,uadv-roar-day,1,1,1,1,0
www-staging.rit.edu/esports,uadv-roar-day,1,1,0,0,0
www-staging.rit.edu/giving-day/78097/leaderboards,uadv-roar-day,1,1,0,0,0
www-staging.rit.edu/hsro,uadv-roar-day,1,1,1,1,0
www-staging.rit.edu/nanopower,uadv-roar-day,1,1,1,1,0
www-staging.rit.edu/physicseducationresearch,uadv-roar-day,1,1,1,1,0
www-staging.rit.edu/roar-day-2024,uadv-roar-day,1,1,0,0,0
www.givecampus.com/campaigns/52069/donations/8752290,uadv-roar-day,1,1,0,0,0
www.givecampus.com/campaigns/52069/donations/8755565,uadv-roar-day,1,1,0,0,0
www.givecampus.com/campaigns/52069/donations/8764167,uadv-roar-day,1,1,0,0,0
www.givecampus.com/campaigns/52069/donations/8764252,uadv-roar-day,1,1,0,0,0
www.givecampus.com/knowledge/articles,uadv-roar-day,1,1,1,1,0
www.givecampus.com/schools/RochesterInstituteofTechnology/admin/campaigns/52069/giving-form,uadv-roar-day,1,1,1,1,0
www.givecampus.com/schools/RochesterInstituteofTechnology/admin/campaigns/52069/leaderboards/custom,uadv-roar-day,1,1,1,1,0
www.givecampus.com/schools/RochesterInstituteofTechnology/admin/campaigns/52069/post-payment-form,uadv-roar-day,1,1,1,1,0
www.givecampus.com/schools/RochesterInstituteofTechnology/admin/donations,uadv-roar-day,1,1,0,0,0
www.givecampus.com/schools/RochesterInstituteofTechnology/admin/school_pages/1739/layout,uadv-roar-day,1,1,1,1,0
www.givecampus.com/schools/RochesterInstituteofTechnology/roar-day-2024/pages/kgcoe,uadv-roar-day,1,1,0,0,0
www.givecampus.com/schools/RochesterInstituteofTechnology/roar-day-2024/pages/rit-athletics/mens-basketball,uadv-roar-day,1,1,0,0,0
www.givecampus.com/schools/RochesterInstituteofTechnology/roar-day-2024/pages/rit-athletics/mens-track-cc,uadv-roar-day,1,1,0,0,0
www.givecampus.com/schools/RochesterInstituteofTechnology/roar-day-2024/pages/rit-athletics/rit-swim-dive,uadv-roar-day,1,1,0,0,0
www.rit.edu/academicaffairs/facultyscholarship/person.php,uadv-roar-day,1,1,0,0,0
www.rit.edu/academicaffairs/global/rit-china-weihai,uadv-roar-day,1,1,0,0,0
www.rit.edu/academicsuccesscenter/all-services,uadv-roar-day,1,1,0,0,0
www.rit.edu/academicsuccesscenter/time-management,uadv-roar-day,1,1,0,0,0
www.rit.edu/admissions/aid/policies/final-term-part-time,uadv-roar-day,1,1,0,0,0
www.rit.edu/admissions/early-acceptance,uadv-roar-day,1,1,0,0,0
www.rit.edu/ai/vision-and-strategic-direction,uadv-roar-day,1,1,0,0,0
www.rit.edu/alumni/403,uadv-roar-day,1,1,1,1,0
www.rit.edu/blog/evening-pumpkin-carving-home-dean-slusarski,uadv-roar-day,1,1,1,1,0
www.rit.edu/boardportal/cybersecurity-training,uadv-roar-day,1,1,1,1,0
www.rit.edu/ai/undergraduate-courses,uadv-roar-day,1,1,0,0,1
www.rit.edu/brickcity/search,uadv-roar-day,1,1,1,1,0
www.rit.edu/business/directory,uadv-roar-day,1,1,1,1,0
www.rit.edu/business/directory/mvbbu-matthew-vollmer,uadv-roar-day,1,1,1,1,0
www.rit.edu/business/featured-events,uadv-roar-day,1,1,0,0,0
www.rit.edu/business/plus1-mba-current-rit-students,uadv-roar-day,1,1,1,1,0
www.rit.edu/business/vip-meet-greet-erika-ayers-badan,uadv-roar-day,1,1,1,1,0
www.rit.edu/campaigns/52069/donations/8747798,uadv-roar-day,1,1,1,1,0
www.rit.edu/carepackages,uadv-roar-day,1,1,1,1,0
www.rit.edu/controller/travel,uadv-roar-day,1,1,1,1,0
www.rit.edu/controller/travel-policies-procedures,uadv-roar-day,1,1,1,1,0
www.rit.edu/cookie-statement,uadv-roar-day,1,1,1,1,0
www.rit.edu/core/install.php,uadv-roar-day,1,1,0,0,0
www.rit.edu/counseling,uadv-roar-day,1,1,1,1,0
www.rit.edu/counseling/embedded-services,uadv-roar-day,1,1,1,1,0
www.rit.edu/dining/location/college-grind,uadv-roar-day,1,1,0,0,0
www.rit.edu/dining/vending,uadv-roar-day,1,1,1,1,0
www.rit.edu/dining/visiting-chefs,uadv-roar-day,1,1,0,0,0
www.rit.edu/directory/djgvpr-daniel-goebert,uadv-roar-day,1,1,0,0,0
www.rit.edu/directory/dxcsse-dawn-carter,uadv-roar-day,1,1,0,0,0
www.rit.edu/dirs/ROCX2025,uadv-roar-day,1,1,1,1,0
www.rit.edu/disabilityservices,uadv-roar-day,1,1,1,1,0
www.rit.edu/diversity/403,uadv-roar-day,1,1,1,1,0
www.rit.edu/diversity/newsletter/november-2024/story/ddi-good-news,uadv-roar-day,1,1,1,1,0
www.rit.edu/engineering/ise,uadv-roar-day,1,1,0,0,0
www.rit.edu/esports,uadv-roar-day,1,1,1,1,0
www.rit.edu/events/cola-deic-small-bites-big-ideas-0,uadv-roar-day,1,1,0,0,0
www.rit.edu/events/cos-community-post-election-discussion,uadv-roar-day,1,1,1,1,0
www.rit.edu/events/cybersecurity-healthcare-summit-2023,uadv-roar-day,1,1,0,0,0
www.rit.edu/events/film-and-animation-faculty-show,uadv-roar-day,1,1,0,0,0
www.rit.edu/events/get-yourself-tested-gyt-8,uadv-roar-day,1,1,0,0,0
www.rit.edu/events/halloween-drawing-marathon,uadv-roar-day,1,1,0,0,0
www.rit.edu/events/roar-vote-election-day-celebration,uadv-roar-day,1,1,0,0,0
www.rit.edu/events/roc-college-night-strong-museum-play,uadv-roar-day,1,1,0,0,0
www.rit.edu/events/users/aljldc,uadv-roar-day,1,1,1,1,0
www.rit.edu/events/wgss-speaker-series-0,uadv-roar-day,1,1,0,0,0
www.rit.edu/fa/diningservices/online-ordering,uadv-roar-day,1,1,1,1,0
www.rit.edu/fa/risk-management-insurance,uadv-roar-day,1,1,0,0,0
www.rit.edu/facilities/gueldenpfennig-auditorium-1050,uadv-roar-day,1,1,1,1,0
www.rit.edu/facilitiesmanagement/buildings-maps,uadv-roar-day,1,1,1,1,0
www.rit.edu/framelesslabs/2024-frameless-xr-showcase,uadv-roar-day,1,1,1,1,0
www.rit.edu/giving-day/78097,uadv-roar-day,1,1,0,0,0
www.rit.edu/giving-day/78097/donate,uadv-roar-day,1,1,1,1,0
www.rit.edu/giving-day/78097/donors,uadv-roar-day,1,1,0,0,0
www.rit.edu/giving-day/78097/signup,uadv-roar-day,1,1,1,1,0
www.rit.edu/giving/gift-policy,uadv-roar-day,1,1,1,1,0
www.rit.edu/giving/matching-gifts,uadv-roar-day,1,1,0,0,0
www.rit.edu/giving/music-performance-theater,uadv-roar-day,1,1,1,1,0
www.rit.edu/giving/sentinel-society-honor-roll,uadv-roar-day,1,1,0,0,0
www.rit.edu/giving/ways-give,uadv-roar-day,1,1,1,1,0
www.rit.edu/giving/why-i-give/erin-mark-minichiello,uadv-roar-day,1,1,1,1,0
www.rit.edu/honors/submit-complementary-learning,uadv-roar-day,1,1,1,1,0
www.rit.edu/housing/residence-hall,uadv-roar-day,1,1,1,1,0
www.rit.edu/hsro,uadv-roar-day,1,1,0,0,0
www.rit.edu/humanresources,uadv-roar-day,1,1,1,1,0
www.rit.edu/humanresources/HR-org-charts,uadv-roar-day,1,1,1,1,0
www.rit.edu/humanresources/benefits-open-enrollment-regular-employees,uadv-roar-day,1,1,1,1,0
www.rit.edu/humanresources/short-term-disability,uadv-roar-day,1,1,1,1,0
www.rit.edu/imagine/contests/poster,uadv-roar-day,1,1,0,0,0
www.rit.edu/imagine/exhibitor-guidelines,uadv-roar-day,1,1,1,1,0
www.rit.edu/iss/contact,uadv-roar-day,1,1,1,1,0
www.rit.edu/liberalarts/student-resources,uadv-roar-day,1,1,1,1,0
www.rit.edu/liberalarts/teaching-and-counseling-partnership-programs,uadv-roar-day,1,1,1,1,0
www.rit.edu/library/uptodate,uadv-roar-day,1,1,1,1,0
www.rit.edu/nanopower,uadv-roar-day,1,1,0,0,0
